Id,SalePrice
2658,129607.99728335696
2718,168153.30548167587
2414,220086.543503517
1989,103653.17423966515
625,175258.25754342304
333,98685.64452343337
1327,109668.39479271392
858,137513.81880677954
95,177208.28821439206
1568,158539.72225507261
2482,155929.20632929122
1364,120312.73770585943
2584,143135.5395592591
818,298781.3567600341
2673,155580.99553574965
2089,144632.46341033856
1297,156794.6628449722
790,117200.14269550813
2616,186252.37754251366
720,190841.11155217973
222,156846.01397831299
557,123216.55830559917
1148,202270.67307879886
2766,173303.16324869817
534,176191.1977212441
1452,114781.18047057616
630,139529.19552838604
2648,113223.11894266245
125,163025.23757012092
1904,65724.43256502887
1670,101001.2645256504
756,98815.47631150488
717,206299.90848414323
1032,162883.55974386196
852,212976.41194206502
1731,189036.26721547975
2639,112417.14160375256
2071,82839.53542914819
1267,117965.04100017817
1851,184068.74476096733
567,157965.0501742337
2439,199675.61281592108
1898,148876.05474619113
647,164489.84561864476
2256,212739.81732431636
979,106712.66241217115
1444,219421.16866212725
2485,122882.53918165354
157,130752.92580533234
88,118349.94862811455
2003,112171.47970235147
186,178573.50889280692
1425,246953.4026526804
2695,126871.95724314415
738,105101.26452048661
395,147801.90121091245
1353,155652.28658663167
1878,131859.46666500226
390,160822.5591222347
1456,229041.03458389864
1103,333313.4464103373
1387,134379.04284878937
2070,154714.59854039445
1199,168561.29235094364
2479,177728.58480140555
501,327476.0018664257
2362,98470.73704082717
1718,202961.03578254514
2188,95283.40111372879
1483,158423.13659954068
2557,99605.50012550857
437,398023.5864222375
2224,190736.1249322437
1628,169954.91527206457
397,127487.51674186008
587,186226.10723172865
971,137518.57783791923
2611,147140.32633489824
1887,96847.32975308907
2399,358878.5821334134
2148,200205.4829510216
304,121217.00937600629
1997,133025.84944237184
2817,125781.96892960361
1431,190852.6923945362
427,328147.4992172119
263,122149.10824386556
598,158367.91333064664
2895,207413.08622717942
687,137976.71628299463
1822,135825.73567611043
2191,97930.4716349407
179,114424.05090331071
1009,211985.97286966824
2010,130048.98888309785
1991,136494.0610144028
1411,186611.02408454905
1721,229979.25300824313
1144,183016.02071914932
593,211015.88840938872
575,347327.7456114997
1249,164840.94553120498
1604,123330.32015762376
1064,574900.0833779069
1923,159664.81332836158
1988,110265.81109878121
2325,169315.02707272617
114,193822.6113851598
2700,170153.27224132244
217,137967.38236531406
343,169130.46694702146
386,216060.6367470246
2005,104775.76231677
2908,135220.4388092253
1814,250854.30453807197
2446,631814.2140687474
208,134728.1216806058
1679,110255.02367178877
822,326836.35303671646
6,194099.17589620105
1781,407084.4454640221
2397,280752.16222055355
2340,309023.29995928076
1618,159664.68210237514
2843,129230.04247779521
1061,376089.1050715642
2786,133556.17073281313
1935,134020.30415001552
1341,124887.91198168021
521,268917.9253363118
2136,136804.60142522858
996,198777.59496835404
227,159408.1905821621
135,172538.24618340624
1167,158733.55846096418
294,232793.96575522868
1776,198544.9683886875
540,173706.49185675127
1717,211610.54773797604
2303,119876.24624269555
116,181955.99023601296
127,138719.0981362472
1371,135846.69236756815
1014,154902.4222908298
1507,105197.64550396785
702,123117.04934928768
750,143705.32667171274
261,144484.85575786053
1559,73880.26749458321
577,207412.2692521926
2812,194859.26462896887
2080,155356.94809000974
1368,109145.86497613743
2376,124231.10730792326
659,100233.27229006641
1235,123094.15604073886
332,95119.88634616308
1917,141918.34802751837
2094,253069.37970917916
1460,254308.59762493544
1471,213223.72818672174
1509,126570.81168747679
1922,132929.53809114892
433,584401.1087830403
460,243088.47663012543
1116,230736.65860885533
1137,172364.88357829928
53,169173.8414148086
2354,275007.0029295369
1475,192932.69720913813
1761,761940.3579576476
842,148876.98081281333
2739,169179.7710296675
2509,154187.07833803448
1007,204174.72894429427
2610,176739.11578407168
1952,88341.992295951
2719,174545.35397108094
2921,96850.51975347377
1966,132940.69900399525
292,115259.17044840647
1204,190822.3688169961
1829,267178.29711348936
2419,191151.61926225128
391,147413.14823104444
798,108845.79473948375
481,196868.05295125232
193,186194.3380563819
555,121919.03648290296
899,77312.46700296675
2357,185572.50321094636
328,136031.6624373416
1356,115482.7646035745
1154,104999.0850254779
1730,183646.60936875525
2249,149687.22760618647
1119,277774.36417899345
2856,128352.9362582622
1394,126552.163300353
2587,105375.19290713695
61,335552.77794087044
2661,176774.06425829208
2711,129724.47319981692
1147,183223.96831643424
757,138094.82489771437
2623,95715.39985951908
2378,138852.82776518274
1413,130855.70622612086
1722,217717.5901919923
1112,217902.9368417759
1623,189428.82064008067
1201,175454.07554236695
1513,106486.53834204194
957,633687.9682058957
1171,267718.6450200662
1145,188889.82798826072
2726,233521.34311991677
703,147529.12371987928
760,90541.56840920416
1964,133525.4137461738
2512,175819.28455005915
159,145640.19432157028
1281,157383.69038354495
468,186169.2322435639
290,121652.95684504448
665,89383.84129678845
1463,256456.33405930077
1792,211753.60297437856
923,156554.3463376736
500,252976.63994255307
1408,178290.50999817872
331,91511.96222406639
170,115413.17720761539
2192,99459.76128915326
2571,355665.2523504897
2314,173280.95399654575
2647,84485.70516707946
422,455998.19025813317
2457,403569.85210958647
1838,198883.6870965146
2805,259365.92518013334
1645,149236.20625382997
1711,287337.6414276956
2825,238393.89465355978
322,306370.73454696924
2103,265249.105527656
342,123665.95168575781
600,119962.34365287109
488,183029.30725147927
1725,312856.06205637247
2246,293044.38889006985
2847,165456.57467397727
806,242335.62619380114
530,223761.4549151409
963,190681.46356697325
2678,100391.48581613961
171,81142.70682637302
2401,478902.75231871905
805,233874.99880091744
2259,231928.67438120674
1748,184166.2538985924
1361,133430.75235923185
1677,119825.41137135302
1406,168801.02679778458
2322,254566.83626231973
688,145419.16355802614
143,144321.1165552267
804,211513.1701520164
1214,162347.24726057725
2828,151669.3185134018
1999,212558.84306187165
2467,192102.49154910067
2665,138162.33995678913
1538,367478.6146351602
398,109036.60354748997
2822,140755.5624169256
2157,151041.21736821043
1856,193888.68806131775
1269,100940.07047162142
2570,113967.1031473596
2320,230445.97796960504
1517,113332.78737252374
2304,117973.51503066401
1312,96067.57471527223
2012,134719.31923164293
506,242802.6120353314
2865,184359.3162903204
2367,108495.71866400322
554,94524.33471000007
238,130936.75915920408
1954,111614.13858710756
2488,143366.5263417915
2291,101775.96569162176
1969,104837.75231938418
2725,156237.12107337057
1482,155758.18647071117
2763,189586.98234081295
503,246132.65912352654
1584,244986.96529161689
1531,133904.40272569525
2210,159568.60486235985
459,342986.73307897977
556,121250.27882083732
1347,133083.71778427108
1290,90481.53038778933
1388,100102.58751555355
1571,394975.95670810173
2754,202890.56998805923
765,125858.94114556693
2494,120413.18529326425
2870,225917.42584282835
7,212605.3888436728
1114,240683.22348248126
2418,290987.07323750353
291,121903.91667105249
18,371235.0012924297
39,389443.2660431952
1001,237157.10804819423
2442,227733.15528304715
616,117004.07583525465
2680,74520.93821951411
1414,120453.9422787598
289,131236.24232531028
40,250267.15402163158
860,125794.99017585388
409,130603.82603663231
673,153055.09975679728
2427,180926.26819734773
2036,239797.38261297147
2564,136393.98130276593
642,160153.28425769473
1008,175948.66036704468
1908,141569.99518772238
2519,211673.5808151365
1369,88208.10213358518
2855,157912.05631429347
712,96034.00364562338
1943,108839.15189951092
1958,126452.05115737484
107,162631.76792507552
2295,174216.06904564772
704,95880.58045592508
676,124946.0172082871
